Intercept,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,,,,,,,,,,,,,,
-7.938578642,0.008501359,0.020817218,-1.555788526,-1.635242156,-1.69010363,-1.68004732,-1.337314068,-0.018175447,0.119437847,0.611061852,0.176385477,,,,,,,,,,,,,,
Serial No.,GRE Score,TOEFL Score,UR1,UR2,UR3,UR4,UR5,SOP,LOR ,CGPA,Research,Chance of Admit ,logit,exp,p(x),logloss,,LOGLOSS,ACTUAL,PREDICTED,,,,,
1,337,118,0,0,0,1,0,4.5,4.5,9.65,1,0.92,2.231576866,9.314542295,0.903049503,-0.280504056,,-218.2044031,1,1,,,,,
2,324,107,0,0,0,1,0,4,4.5,8.87,1,0.76,1.424529284,4.155901134,0.806047483,-0.557499654,,,1,1,,,,,
3,316,104,0,0,1,0,0,3,3.5,8,1,0.72,0.651124237,1.917695562,0.657263762,-0.601984663,,,1,1,,,,,
4,322,110,0,0,1,0,0,3.5,2.5,8.67,1,0.8,1.107921568,3.028058235,0.751741424,-0.506947178,,,1,1,,,,,
5,314,103,0,1,0,0,0,2,3,8.21,0,0.65,0.578559811,1.783468049,0.640735951,-0.647633773,,,1,1,,,,,
6,330,115,0,0,0,0,1,4.5,3,9.34,1,0.9,2.083763008,8.034646537,0.889314984,-0.325680095,,,1,1,,,,CONFUSION MATRIX,
7,321,109,0,0,1,0,0,3,4,8.2,1,0.75,0.979648414,2.663519622,0.727038448,-0.56368802,,,1,1,,,,,
8,308,101,0,1,0,0,0,3,4,7.9,0,0.68,0.397750447,1.488472531,0.598147061,-0.641198777,,,1,1,,,,0,1
9,302,102,1,0,0,0,0,2,1.5,8,0,0.5,0.227700155,1.255708751,0.556680356,-0.699614148,,,0,1,,,0,35,
10,323,108,0,0,1,0,0,3.5,3,8.6,0,0.45,0.915347608,2.497643303,0.714093201,-0.840182976,,,0,1,,,1,,
11,325,106,0,0,1,0,0,3.5,4,8.4,1,0.52,1.064326845,2.898886927,0.743516542,-0.80724115,,,1,1,,,,,
12,327,111,0,0,0,1,0,4,4.5,9,1,0.84,1.612740272,5.016539094,0.83379149,-0.439810364,,,1,1,,,,,
13,328,112,0,0,0,1,0,4,4.5,9.1,1,0.78,1.703165034,5.491300069,0.845947655,-0.541994103,,,1,1,,,,,
14,307,109,0,0,1,0,0,4,3,8,1,0.62,0.600803723,1.823583868,0.645840164,-0.665508645,,,1,1,,,,,
15,311,104,0,0,1,0,0,3.5,2,8.2,1,0.61,0.542585319,1.720449026,0.632413624,-0.669819906,,,1,1,,,,,
16,314,105,0,0,1,0,0,3.5,2.5,8.3,0,0.54,0.533346245,1.704626875,0.630263232,-0.706956991,,,1,1,,,,,
17,317,107,0,0,1,0,0,4,3,8.7,0,0.66,0.895540698,2.448659418,0.710032253,-0.64692872,,,1,1,,,,,
18,319,106,0,0,1,0,0,4,3,8,1,0.65,0.640368379,1.897179633,0.654836729,-0.647498277,,,1,1,,,,,
19,318,110,0,0,1,0,0,4,3,8.8,0,0.63,1.027599895,2.794351045,0.736450321,-0.686125459,,,1,1,,,,,
20,303,102,0,0,1,0,0,3.5,3,8.5,0,0.62,0.559310937,1.749466592,0.636293089,-0.664634145,,,1,1,,,,,
21,312,107,0,0,1,0,0,3,2,7.9,1,0.64,0.439307498,1.551632338,0.608094009,-0.655576488,,,1,1,,,,,
22,325,114,0,0,0,1,0,3,2,8.4,0,0.7,0.834747448,2.304232036,0.697357816,-0.610880869,,,1,1,,,,,
23,328,116,0,0,0,0,1,5,5,9.5,1,0.94,2.415135374,11.19128527,0.917974194,-0.230494122,,,1,1,,,,,
24,334,119,0,0,0,0,1,5,4.5,9.7,1,0.95,2.591088628,13.34429067,0.930285852,-0.201817804,,,1,1,,,,,
25,336,119,0,0,0,0,1,4,3.5,9.8,1,0.97,2.567935131,13.03887306,0.928769211,-0.150933052,,,1,1,,,,,
26,340,120,0,0,0,0,1,4.5,4.5,9.6,1,0.94,2.610895538,13.61123478,0.931559515,-0.227548932,,,1,1,,,,,
27,322,109,0,0,0,0,1,4.5,3.5,8.8,0,0.76,1.444208876,4.23849764,0.809105574,-0.558436001,,,1,1,,,,,
28,298,98,0,1,0,0,0,1.5,2.5,7.5,1,0.44,0.03035234,1.030817668,0.507587502,-0.695083475,,,0,1,,,,,
29,295,93,1,0,0,0,0,2,2,7.2,0,0.46,-0.448294875,0.638716315,0.389766251,-0.700128843,,,0,0,,,,,
30,310,99,0,1,0,0,0,1.5,2,7.3,0,0.54,-0.205130905,0.814540682,0.448896346,-0.706603057,,,1,0,,,,,
31,300,97,0,1,0,0,0,3,3,8.1,1,0.65,0.425630705,1.530555444,0.60482984,-0.651778864,,,1,1,,,,,
32,327,103,0,0,1,0,0,4,4,8.3,1,0.74,0.948684002,2.582309109,0.720850443,-0.573981433,,,1,1,,,,,
33,338,118,0,0,0,1,0,3,4.5,9.4,1,0.91,2.114575932,8.286071166,0.892311831,-0.304251455,,,1,1,,,,,
34,340,114,0,0,0,0,1,4,4,9.6,1,0.9,2.435361033,11.41994094,0.919484319,-0.327478392,,,1,1,,,,,
35,331,112,0,0,0,0,1,4,5,9.8,1,0.94,2.558864584,12.92113811,0.928166793,-0.228075704,,,1,1,,,,,
36,320,110,0,0,0,0,1,5,5,9.2,1,0.88,2.038902641,7.682174467,0.884821481,-0.367037688,,,1,1,,,,,
37,299,106,0,1,0,0,0,4,4,8.4,0,0.64,0.712679783,2.039449224,0.670993023,-0.655561261,,,1,1,,,,,
38,300,105,1,0,0,0,0,1,2,7.8,0,0.58,0.228831089,1.257129678,0.556959438,-0.681371921,,,1,1,,,,,
39,304,105,1,0,0,0,0,3,1.5,7.5,0,0.52,-0.016551847,0.983584382,0.495862133,-0.693512463,,,1,0,,,,,
40,307,108,0,1,0,0,0,4,3.5,7.7,0,0.48,0.334862871,1.3977487,0.582942116,-0.713796077,,,0,1,,,,,
41,308,110,0,0,1,0,0,3.5,3,8,1,0.46,0.639210023,1.894983295,0.654574863,-0.76894273,,,0,1,,,,,
42,316,105,0,1,0,0,0,2.5,2.5,8.2,1,0.49,0.738665176,2.093139675,0.676703898,-0.767240715,,,0,1,,,,,
43,313,107,0,1,0,0,0,2.5,2,8.5,1,0.53,0.878395166,2.407033715,0.70648955,-0.760292597,,,1,1,,,,,
44,332,117,0,0,0,1,0,4.5,4,9.1,0,0.87,1.596064434,4.933577748,0.831467617,-0.392051303,,,1,1,,,,,
45,326,113,0,0,0,0,1,4.5,4,9.4,1,0.91,2.164224695,8.707848057,0.896990559,-0.303490164,,,1,1,,,,,
46,322,110,0,0,0,0,1,5,4,9.1,1,0.88,1.875361327,6.523175692,0.86707741,-0.367670381,,,1,1,,,,,
47,329,114,0,0,0,0,1,4,5,9.3,1,0.86,2.277965374,9.756808747,0.907035625,-0.416488704,,,1,1,,,,,
48,339,119,0,0,0,0,1,4.5,4,9.7,0,0.89,2.406578746,11.09593413,0.917327592,-0.351014289,,,1,1,,,,,
49,321,110,0,0,1,0,0,3.5,5,8.85,1,0.82,1.508005959,4.517713303,0.818765502,-0.471398631,,,1,1,,,,,
50,327,111,0,0,0,1,0,3,4,8.4,1,0.78,1.204559684,3.335290173,0.769334933,-0.527231992,,,1,1,,,,,
51,313,98,0,0,1,0,0,2.5,4.5,8.3,1,0.76,0.812560981,2.253672214,0.692654965,-0.562237925,,,1,1,,,,,
52,312,100,0,1,0,0,0,1.5,3.5,7.9,1,0.56,0.554868389,1.741711742,0.635264355,-0.697856151,,,1,1,,,,,
